                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON NON 00 NON 00 SAB 10 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON SAB 11 NON 00 SAB 10 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 NON 00 NON 00 SAB 20   NON SAB 11 NON 00 SAB 10 NON 00 NON 00 - - - . - - - -- --
NON   NON SAB 13 NON 00 NON 00 NON 00 SAB 20   NON SAB 11 NON 00 SAB 10 NON 00 NON 00 - - - . - - - -- --
NON   NON SAB 13 NON 00 NON 00 NON 00 SAB 20   NON SAB 11 NON 00 SAB 10 NON 00 NON 00 - - - . - - - -- --
NON   NON SAB 13 NON 00 NON 00 NON 00 SAB 20   NON SAB 11 NON 00 SAB 10 NON 00 SAB 15 - - - . - - - -- --
NON   NON SAB 13 NON 00 NON 00 NON 00 SAB 20   NON SAB 11 NON 00 SAB 10 NON 00 SAB 15 - - - . - - - -- --
NON   NON SAB 13 NON 00 NON 00 NON 00 SAB 20   NON SAB 11 SAB 15 SAB 10 NON 00 SAB 15 - - - . - - - -- --
NON   NON SAB 13 NON 00 SAB 19 NON 00 SAB 20   NON SAB 11 SAB 15 SAB 10 NON 00 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 NON 00 SAB 20   NON SAB 11 SAB 15 SAB 10 NON 00 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 NON 00 SAB 20   NON SAB 11 SAB 15 SAB 10 NON 00 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 NON 00 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   NON SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   NON SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   WRC SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
NON   WRC SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   WRC SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
SOM   WRC SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   WRC SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - -- --
Game 1 
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG   WRC SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   WRC SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - 01 --
TSR   WRC SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   WRC SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - 01 --
TSR   AST SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   WRC SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - 01 --
TSR   AST SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   AST SAB 11 SAB 15 SAB 10 SAB 18 SAB 15 - - - . - - - 01 --
TSR   AST SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   AST SAB 11 SAB 15 SIP 10 SAB 18 SAB 15 - - - . 3 3 3 01 --
TSR   WTR SAB 13 SAB 15 SAB 19 SAB 20 SAB 20   AST SAB 11 SAB 15 SIP 10 SAB 18 SAB 15 - - - . 3 3 3 01 --
TSR   WTR SAB 13 SIP 15 SAB 19 SAB 20 SAB 20   AST SAB 11 SAB 15 SIP 10 SAB 18 SAB 15 2 2 2 . 3 3 3 01 --
TSR   WTR SAB 13 SIP 15 SAB 19 SAB 20 SAB 20   WTR SAB 11 SAB 15 SIP 10 SAB 18 SAB 15 2 2 2 . 3 3 3 01 --
TSR   WTR SAB 13 SIP 15 SAB 19 SAB 20 SAB 20   WTR SAB 11 SIP 15 SIP 10 SAB 18 SAB 15 2 2 2 . 3 3 3 01 --
TSR   WTR SAB 13 SIP 15 SAB 19 SIP 20 SAB 20   WTR SAB 11 SIP 15 SIP 10 SAB 18 SAB 15 2 2 2 . 3 3 3 01 --
TSR   WTR SAB 13 SIP 15 SIP 19 SIP 20 SAB 20   WTR SAB 11 SIP 15 SIP 10 SAB 18 SAB 15 2 2 2 . 3 3 3 01 --
TSR   WTR SAB 13 SIP 15 SIP 19 SIP 20 SAB 20   WTR SAB 11 SIP 15 SIP 10 SAB 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SAB 13 SIP 15 SIP 19 SIP 20 SAB 20   WTR SIP 11 SIP 15 SIP 10 SAB 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 SIP 15 SIP 19 SIP 20 SAB 20   WTR SIP 11 SIP 15 SIP 10 SAB 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 SIP 15 SIP 19 SIP 20 SAB 20   WTR SIP 11 SIP 15 SIP 10 SIP 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 SIP 15 SIP 19 SIP 20 SIP 20   WTR SIP 11 SIP 15 SIP 10 SIP 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 DYB 15 SIP 19 SIP 20 SIP 20   WTR SIP 11 SIP 15 SIP 10 SIP 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 DYB 15 SIP 19 SIP 20 SIP 20   WTR SIP 11 DYB 15 SIP 10 SIP 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 DYB 15 SIP 19 SIP 20 SIP 20   WTR SIP 11 DYB 15 DYB 10 SIP 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 DYB 15 DYB 19 SIP 20 SIP 20   WTR SIP 11 DYB 15 DYB 10 SIP 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 DYB 15 DYB 19 DYB 20 SIP 20   WTR SIP 11 DYB 15 DYB 10 SIP 18 SIP 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 DYB 15 DYB 19 DYB 20 SIP 20   WTR SIP 11 DYB 15 DYB 10 SIP 18 DYB 15 2 2 2 . 3 3 3 01 --
TSR   WTR SIP 13 DYB 15 DYB 19 DYB 20 SIP 20   WTR DYB 11 DYB 15 DYB 10 SIP 18 DYB 15 2 2 2 . 3 3 3 01 --
TSR   WTR DYB 13 DYB 15 DYB 19 DYB 20 SIP 20   WTR DYB 11 DYB 15 DYB 10 SIP 18 DYB 15 2 2 2 . 3 3 3 01 --
TSR   WTR DYB 13 DYB 15 DYB 19 DYB 20 SIP 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 --
TSR   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 --
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 DYB 19 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 00
WTC   WTR DYB 13 DYB 15 SAB 18 DYB 20 DYB 20   WTR DYB 11 DYB 15 DYB 10 DYB 18 DYB 15 2 2 2 . 3 3 3 01 -18
WTC   WTR DYB 13 DYB 15 SAB 18 DYB 20 DYB 20   WTR DYB 11 DYB 15 SAB 09 DYB 18 DYB 15 2 2 2 . - - - 01 -18
WTC   WTR DYB 13 DYB 15 SAB 18 DYB 20 DYB 20   WTR DYB 11 DYB 15 SAB 09 DYB 18 SAB 14 2 2 2 . - - - 01 -18
WTC   WTR DYB 13 DYB 15 SAB 18 SAB 19 DYB 20   WTR DYB 11 DYB 15 SAB 09 DYB 18 SAB 14 2 2 2 . - - - 01 -18
WTC   WTR DYB 13 SAB 14 SAB 18 SAB 19 DYB 20   WTR DYB 11 DYB 15 SAB 09 DYB 18 SAB 14 - - - . - - - 01 -18
WTC   WTR DYB 13 SAB 14 SAB 18 SAB 19 DYB 20   WTR DYB 11 DYB 15 SAB 09 DYB 18 SAB 14 - - - . - - - 01 -18
WTC   WTR DYB 13 SAB 14 SAB 18 SAB 19 DYB 20   WTR DYB 11 SAB 14 SAB 09 DYB 18 SAB 14 - - - . - - - 01 -18
WTC   WTR DYB 13 SAB 14 SAB 18 SAB 19 DYB 20   WTR DYB 11 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 -18
WTC   WTR DYB 13 SAB 14 SAB 18 SAB 19 SAB 19   WTR DYB 11 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 -18
WTC   WTR DYB 13 SAB 14 SAB 18 SAB 19 SAB 19   WTR SAB 10 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 -18
WTC   WTR SAB 12 SAB 14 SAB 18 SAB 19 SAB 19   WTR SAB 10 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 -18
WTC   WTR SAB 12 SAB 14 SAB 18 SAB 19 SAB 19   WRC SAB 10 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 --
WTC   WRC SAB 12 SAB 14 SAB 18 SAB 19 SAB 19   WRC SAB 10 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 --
EOG   WRC SAB 12 SAB 14 SAB 18 SAB 19 SAB 19   WRC SAB 10 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 --
Game 1 was won by team 1 by knock out in 1 trials.
SOG   WRC SAB 12 SAB 14 SAB 18 SAB 19 SAB 19   WRC SAB 10 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 --
Game 2 
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
TSR   WRC SAB 12 SAB 14 SAB 18 SAB 19 SAB 19   WRC SAB 10 SAB 14 SAB 09 SAB 17 SAB 14 - - - . - - - 01 --
